Assembly name,version,Species,Common name,Ploidy=Chr,haplotype,ID,Link (download),assembly quality (ie: Gold  draft  etc),Sequencer Reads,Assembly Method,Total Length (bp),N50 Length (bp),L50 (#),Contig (#),Number of Gaps,genus,family,order,class,phylum,group name,Link (FTP),Publication (PUBMED ID)
dcAgrGith1.1,nan,Agrostemma githago,corn cockle,2n=,haploid,GCA_958450325.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_958450325.1/,Chromosome,PacBio Arima2,various,1734959258,6382080,74,520,nan,Agrostemma,Caryophyllaceae,Caryophyllales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/958/450/325/GCA_958450325.1_dcAgrGith1.1/GCA_958450325.1_dcAgrGith1.1_genomic.fna.gz,na
ASM3757648v1,nan,Ammopiptanthus mongolicus,nan,2n=,haploid,GCA_037576485.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037576485.1/,Chromosome,PacBio Sequel,FALCON v. 0.06,816610365,2972805,84,666,nan,Ammopiptanthus,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/576/485/GCA_037576485.1_ASM3757648v1/GCA_037576485.1_ASM3757648v1_genomic.fna.gz,na
ddAndSaus6.1,nan,Androsace saussurei,nan,2n=,haploid,GCA_964267185.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964267185.2/,Chromosome,PacBio OmniC,Nextdenovo Yahs,412904699,4976724,28,251,nan,Androsace,Primulaceae,Ericales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/267/185/GCA_964267185.2_ddAndSaus6.1/GCA_964267185.2_ddAndSaus6.1_genomic.fna.gz,na
dmAquVulg1.hap1.1,nan,Aquilegia vulgaris,nan,2n=,haploid,GCA_964291885.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964291885.1/,Chromosome,PacBio Arima2,various,296011268,1168573,79,567,nan,Aquilegia,Ranunculaceae,Ranunculales,Magnoliopsida,Streptophyta,flowering plants,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/291/885/GCA_964291885.1_dmAquVulg1.hap1.1/GCA_964291885.1_dmAquVulg1.hap1.1_genomic.fna.gz,na
ddArbMenz1_a1.1,nan,Arbutus menziesii,Pacific madrone,2n=,alternate-pseudohaplotype,GCA_046127735.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046127735.1/,Contig,Sequel II,hifiasm v. 0.19.4; purge_dups v. 1.2.5,411321420,6379653,15,322,nan,Arbutus,Ericaceae,Ericales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/127/735/GCA_046127735.1_ddArbMenz1_a1.1/GCA_046127735.1_ddArbMenz1_a1.1_genomic.fna.gz,na
drPotAnse1.1 alternate haplotype,nan,Argentina anserina,silverweed cinquefoil,2n=,alternate-pseudohaplotype,GCA_933772775.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_933772775.1/,Scaffold,nan,nan,604515465,5278788,27,1198,nan,Argentina,Rosaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/933/772/775/GCA_933772775.1_drPotAnse1.1_alternate_haplotype/GCA_933772775.1_drPotAnse1.1_alternate_haplotype_genomic.fna.gz,na
ASM3951918v1,nan,Astragalus membranaceus,nan,2n=,haploid,GCA_039519185.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_039519185.1/,Chromosome,PacBio Sequel,FALCON v. 2.0.5,1430456848,1674297,269,1770,nan,Astragalus,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/519/185/GCA_039519185.1_ASM3951918v1/GCA_039519185.1_ASM3951918v1_genomic.fna.gz,na
lpBroTect1.0.a,nan,Bromus tectorum,Dachtrespe,2n=,alternate-pseudohaplotype,GCA_042919835.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_042919835.1/,Scaffold,Illumina NovaSeq; PacBio Sequel; Dovetail Omni-C,HiFiasm v. 0.19.5-r592; SALSA v. 2; YAGCloser v. https://github.com/merlyescalona/yagcloser (commit 23d4fe9); Rapid curation v. https://gitlab.com/wtsi-grit/rapid-curation (commit 4ddca450),2155599617,50426344,12,330,nan,Bromus,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/919/835/GCA_042919835.1_lpBroTect1.0.a/GCA_042919835.1_lpBroTect1.0.a_genomic.fna.gz,na
ddCalVulg4.hap2.1,nan,Calluna vulgaris,heather flower,2n=,haploid,GCA_964145215.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964145215.1/,Chromosome,PacBio Arima2,various,520366834,2555587,59,433,nan,Calluna,Ericaceae,Ericales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/145/215/GCA_964145215.1_ddCalVulg4.hap2.1/GCA_964145215.1_ddCalVulg4.hap2.1_genomic.fna.gz,na
ASM2053656v1,nan,Camellia sinensis var. assamica,Assam tea,2n=,haploid,GCA_020536565.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_020536565.1/,Chromosome,Illumina HiSeq,SPAdes v. 3.12.0,3060819117,1887371,461,4170,nan,Camellia,Theaceae,Ericales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/536/565/GCA_020536565.1_ASM2053656v1/GCA_020536565.1_ASM2053656v1_genomic.fna.gz,na
lpCarExte1.hap1.1,nan,Carex extensa,nan,2n=,haploid,GCA_964341605.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964341605.1/,Chromosome,PacBio Arima2,various,312106058,1956635,52,341,nan,Carex,Cyperaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/341/605/GCA_964341605.1_lpCarExte1.hap1.1/GCA_964341605.1_lpCarExte1.hap1.1_genomic.fna.gz,na
CCR_r1.0,nan,Castanea crenata,Japanese chestnut,2n=,haploid,GCA_019972055.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_019972055.1/,Contig,Sequel,FALCON v. 1.8.1,721168657,1595543,122,781,nan,Castanea,Fagaceae,Fagales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/972/055/GCA_019972055.1_CCR_r1.0/GCA_019972055.1_CCR_r1.0_genomic.fna.gz,na
daCheTaga1.hap1.1,nan,Cheirolophus tagananensis,nan,2n=,haploid,GCA_964300405.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964300405.1/,Chromosome,PacBio Arima2,various,623484533,3968000,50,421,nan,Cheirolophus,Asteraceae,Asterales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/300/405/GCA_964300405.1_daCheTaga1.hap1.1/GCA_964300405.1_daCheTaga1.hap1.1_genomic.fna.gz,na
