Assembly name,version,Species name,Common name,Ploidy=Chr,haplotype,NCBI GenBank ID,Link (download),assembly quality (ie: Gold  draft  etc),Sequencer Reads,Assembly Method,Total Length (bp),N50 Length (bp),L50 (#),Contig (#),Number of Gaps,Link (FTP),Publication (PUBMED ID)
cbHetHete15.1,,Heterocladium heteropterum,NA,2n=,haploid,GCA_964605405.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964605405.1/,Chromosome,PacBio Arima2,various,332808871,1000725,104,1361,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/605/405/GCA_964605405.1_cbHetHete15.1/GCA_964605405.1_cbHetHete15.1_genomic.fna.gz,na
ACO_r3.0C,,Ananas comosus,pineapple,2n=,haploid,GCA_022834675.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_022834675.1/,Contig,Sequel,Canu v. 1.7,459433240,1000874,120,1909,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/834/675/GCA_022834675.1_ACO_r3.0C/GCA_022834675.1_ACO_r3.0C_genomic.fna.gz,35122338
ASM2231669v1,,Camellia oleifera,abura-tsubaki,2n=,haploid,GCA_022316695.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_022316695.1/,Chromosome,PacBio Sequel,FALCON-Unzip v. 0.3.0,2636198389,1001749,754,7266,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/316/695/GCA_022316695.1_ASM2231669v1/GCA_022316695.1_ASM2231669v1_genomic.fna.gz,35012630
dcPolMari1.1,,Polygonum maritimum,NA,2n=,haploid,GCA_963924305.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963924305.1/,Chromosome,PacBio Arima2,various,428498199,1011000,133,725,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/305/GCA_963924305.1_dcPolMari1.1/GCA_963924305.1_dcPolMari1.1_genomic.fna.gz,na
ASM3785540v1,,Chlorella vulgaris,NA,2n=,haploid,GCA_037855405.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037855405.1/,Contig,PacBio Sequel IIe,SMRTlink v. 11.0.0.146107,40658414,1011039,14,91,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/855/405/GCA_037855405.1_ASM3785540v1/GCA_037855405.1_ASM3785540v1_genomic.fna.gz,na
ASM1418256v1,,Eucalyptus marginata,NA,2n=,haploid,GCA_014182565.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_014182565.1/,Chromosome,Oxford Nanopore MinION,Canu v. 1.9,512801065,1011736,166,989,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/182/565/GCA_014182565.1_ASM1418256v1/GCA_014182565.1_ASM1418256v1_genomic.fna.gz,na
daBalNigr1.1 alternate haplotype,,Ballota nigra,black horehound,2n=,alternate-pseudohaplotype,GCA_947034845.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_947034845.1/,Contig,PacBio Illumina Arima,various,382352052,1011855,99,1943,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/034/845/GCA_947034845.1_daBalNigr1.1_alternate_haplotype/GCA_947034845.1_daBalNigr1.1_alternate_haplotype_genomic.fna.gz,na
IMPLAD_Smil_shh,,Salvia miltiorrhiza,Chinese salvia,2n=,haploid,GCA_028751815.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_028751815.1/,Chromosome,Illumina; PacBio Sequel,FALCON v. 0.3.0,528714683,1012308,171,866,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/751/815/GCA_028751815.1_IMPLAD_Smil_shh/GCA_028751815.1_IMPLAD_Smil_shh_genomic.fna.gz,na
aradu.K30065.gnm1.M24N,,Arachis duranensis,NA,2n=,haploid,GCA_014805325.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_014805325.1/,Chromosome,PacBio Sequel; Illumina HiSeq,Canu v. 1.9; RaGOO v. 1.1; Pilon v. 2019,1106084184,1014563,238,3000,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/805/325/GCA_014805325.1_aradu.K30065.gnm1.M24N/GCA_014805325.1_aradu.K30065.gnm1.M24N_genomic.fna.gz,na
ASM2146424v1,,Carallia brachiata,NA,2n=,haploid,GCA_021464245.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_021464245.1/,Scaffold,PacBio,FALCON v. 1.0,335247987,1016114,95,822,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/464/245/GCA_021464245.1_ASM2146424v1/GCA_021464245.1_ASM2146424v1_genomic.fna.gz,na
