Assembly name,version,Species,Common name,Ploidy=Chr,haplotype,ID,Link (download),assembly quality (ie: Gold  draft  etc),Sequencer Reads,Assembly Method,Total Length (bp),N50 Length (bp),L50 (#),Contig (#),Number of Gaps,genus,family,order,class,phylum,group name,Link (FTP),Publication (PUBMED ID),Busco_cutoff
AwK_v01,nan,Cenchrus americanus,bulrush millet,2n=,haploid,GCA_963924085.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963924085.1/,Chromosome,SequelII OminC,hifiasm juicer,1914824379,283920974,4,165,nan,Cenchrus,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/085/GCA_963924085.1_AwK_v01/GCA_963924085.1_AwK_v01_genomic.fna.gz,na,False
ASM3040736v1,nan,Solanum americanum,nan,2n=,haploid,GCA_030407365.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030407365.1/,Chromosome,PacBio CCS,HiFiasm v. 0.13,1068868885,66578129,7,298,nan,Solanum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/407/365/GCA_030407365.1_ASM3040736v1/GCA_030407365.1_ASM3040736v1_genomic.fna.gz,na,False
ASM4686236v1,nan,Cynodon dactylon,Bermuda grass,2n=,haploid,GCA_046862365.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046862365.1/,Chromosome,PacBio,FALCON v. 2.0,865952429,1050894,212,2402,nan,Cynodon,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/862/365/GCA_046862365.1_ASM4686236v1/GCA_046862365.1_ASM4686236v1_genomic.fna.gz,na,False
CSIRO_AGI_Rlap_v1,nan,Rutidosis leptorrhynchoides,nan,2n=,haploid,GCA_046630445.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046630445.1/,Chromosome,PacBio Sequel; Oxford Nanopore PromethION; Illumina HiC,Mabs hifiasm v. 2.2; YAHS v. 1.2.2,5642349751,464232526,5,550,nan,Rutidosis,Asteraceae,Asterales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/630/445/GCA_046630445.1_CSIRO_AGI_Rlap_v1/GCA_046630445.1_CSIRO_AGI_Rlap_v1_genomic.fna.gz,na,False
Petunia_hybrid_v1.0,nan,Petunia x hybrida,garden petunia,2n=,haploid,GCA_046563445.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046563445.1/,Chromosome,PacBio; Illumina; BioNano,Canu v. 1.7,1267512582,6946582,57,1017,nan,Petunia,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/563/445/GCA_046563445.1_Petunia_hybrid_v1.0/GCA_046563445.1_Petunia_hybrid_v1.0_genomic.fna.gz,na,False
ASM4656330v1,nan,Solanum acaule,nan,2n=,haploid,GCA_046563305.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046563305.1/,Chromosome,PacBio Sequel,Canu v. 2.2; Flye v. 2.9-b1774; NextDenovo v. 2.5.0,695541198,51991945,7,258,nan,Solanum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/563/305/GCA_046563305.1_ASM4656330v1/GCA_046563305.1_ASM4656330v1_genomic.fna.gz,na,False
NIFOS_PopDav_1.0,nan,Populus davidiana,nan,2n=,haploid,GCA_030145905.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030145905.1/,Chromosome,PacBio Sequel,FALCON-Unzip v. 1.8,407852175,2591610,46,541,nan,Populus,Salicaceae,Malpighiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/145/905/GCA_030145905.1_NIFOS_PopDav_1.0/GCA_030145905.1_NIFOS_PopDav_1.0_genomic.fna.gz,na,False
ASM2999057v1,nan,Petunia axillaris subsp. axillaris,nan,2n=,haploid,GCA_029990575.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_029990575.1/,Contig,PacBio Sequel,Hifiasm v. 0.15,1309025014,148221996,4,754,nan,Petunia,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/990/575/GCA_029990575.1_ASM2999057v1/GCA_029990575.1_ASM2999057v1_genomic.fna.gz,na,False
Sto_11H31,nan,Solanum stoloniferum,nan,2n=,haploid,GCA_045791845.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_045791845.1/,Chromosome,PacBio Sequel IIe; Illumina NovaSeq,Hifiasm v. 0.18.2-r467; Juicer v. 1.6,1697537398,17458196,24,4315,nan,Solanum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/045/791/845/GCA_045791845.1_Sto_11H31/GCA_045791845.1_Sto_11H31_genomic.fna.gz,na,False
ddEupMacu1.hap2.1,nan,Euphorbia maculata,nan,2n=,haploid,GCA_965112875.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965112875.1/,Scaffold,PacBio Arima2,various,724476953,4295957,55,347,nan,Euphorbia,Euphorbiaceae,Malpighiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/112/875/GCA_965112875.1_ddEupMacu1.hap2.1/GCA_965112875.1_ddEupMacu1.hap2.1_genomic.fna.gz,na,False
